country,year,attacking_midfield_market_value,central_midfield_market_value,centre-back_market_value,centre-forward_market_value,defensive_midfield_market_value,goalkeeper_market_value,left_winger_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,second_striker_market_value,attacking_midfield_age,central_midfield_age,centre-back_age,centre-forward_age,defensive_midfield_age,goalkeeper_age,left_winger_age,left-back_age,right_winger_age,right-back_age,second_striker_age,right_midfield_market_value,right_midfield_age,left_midfield_market_value,left_midfield_age,striker_market_value,striker_age,midfielder_market_value,midfielder_age
Saudi Arabia,2018,562500,1133333.3333333333,563888.8888888889,612500,596428.5714285715,591666.6666666666,995000,719000,1030000,887500,125000,31.75,26.5,27,28.333333333333332,27.142857142857142,28.88888888888889,25.4,30.6,24.8,28,35,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,2019,715000,882500,409615.3846153846,359375,468750,525000,783333.3333333334,578125,764285.7142857143,662500,NA,28,27.2,27,25.625,24.375,29,23.666666666666668,27.25,26.571428571428573,24.333333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,2020,NA,1500000,341666.6666666667,431250,250000,150000,883333.3333333334,NA,NA,983333.3333333334,NA,NA,27,25.333333333333332,22.25,23.5,24.333333333333332,25,NA,NA,24.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,2021,50000,1287500,347727.2727272727,591666.6666666666,490000,825000,1466666.6666666667,1125000,562500,855000,NA,23,25,23.818181818181817,22.666666666666668,24.2,26.4,24.333333333333332,23.5,24,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,2022,825000,716666.6666666666,942857.1428571428,875000,430000,400000,1400000,775000,837500,1900000,NA,29.5,28.333333333333332,28,24,27,27.2,27.25,25,26.75,27.333333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,2023,900000,733333.3333333334,600000,1090625,445833.3333333333,268750,896875,602777.7777777778,456250,1800000,NA,27,25.88888888888889,26.916666666666668,24.25,26.166666666666668,24,25,25.444444444444443,27.25,27.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,2024,500000,1160714.2857142857,643750,1021428.5714285715,525000,321428.5714285714,1333333.3333333333,858333.3333333334,350000,1292857.142857143,NA,28,23.857142857142858,27.25,23.571428571428573,27.2,27.285714285714285,27.333333333333332,27.166666666666668,26,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,2025,NA,1155000,731250,1531250,530000,260714.2857142857,860000,660714.2857142857,362500,1450000,NA,NA,24.6,25.125,28,26.4,25,24.6,25.714285714285715,25,24.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,2018,40000000,46312500,25333333.333333332,37400000,65000000,36500000,NA,36000000,NA,30000000,NA,26,27,27.916666666666668,28,26.5,28,NA,29,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,2019,41357142.85714286,39928571.428571425,16437500,30000000,62500000,48333333.333333336,10000000,32375000,NA,60000000,NA,24.571428571428573,26.285714285714285,26,26.571428571428573,26,25.333333333333332,26,24.75,NA,26,NA,4000000,33,NA,NA,NA,NA,NA,NA
Spain,2020,28000000,43571428.571428575,19400000,44000000,57500000,43333333.333333336,40000000,29000000,28000000,36666666.666666664,NA,23.25,25.285714285714285,25.4,24.6,27,25.333333333333332,17,22.666666666666668,23,25,NA,4000000,34,NA,NA,NA,NA,NA,NA
Spain,2021,18400000,31800000,21450000,32857142.85714286,18440000,10525000,5250000,22400000,15375000,19500000,NA,24.8,24.1,27.5,24.857142857142858,23.4,23.5,20.5,24.4,21,23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,2022,38333333.333333336,52500000,26000000,26250000,29666666.666666668,13875000,34000000,19000000,30000000,40000000,NA,25.666666666666668,22.25,27.428571428571427,26.25,26.333333333333332,23.5,19,25.333333333333332,19,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,2023,26250000,40200000,24857142.85714286,21750000,60000000,23800000,19620000,17666666.666666668,38000000,21500000,NA,25.75,24.2,29,28.25,24.5,26.4,20.8,25.833333333333332,20,26.5,NA,3000000,37,NA,NA,NA,NA,NA,NA
Spain,2024,28000000,43000000,21214285.714285713,21714285.714285713,43150000,28750000,25600000,23333333.333333332,45000000,23250000,NA,24.75,24.2,25.428571428571427,27.571428571428573,24,27,22,25.333333333333332,18.5,26.75,NA,3000000,38,NA,NA,NA,NA,NA,NA
Spain,2025,38666666.666666664,48428571.428571425,32250000,23333333.333333332,95000000,31000000,40333333.333333336,35000000,71333333.33333333,25750000,NA,26.333333333333332,24.857142857142858,23.333333333333332,27.5,26.5,28.333333333333332,21.333333333333332,27.5,22,27.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,2018,810000,3525000,728571.4285714285,930000,1237500,2225000,1450000,1166666.6666666667,233333.33333333334,633333.3333333334,NA,27,25,25,26.2,26.5,30.25,25.75,25.333333333333332,21.666666666666668,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,2019,1400000,3100000,861111.1111111111,841666.6666666666,670000,1875000,1275000,566666.6666666666,566666.6666666666,625000,NA,27,26.6,28,27.166666666666668,26.8,31.333333333333332,28,26,26,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,2021,1200000,2550000,1137500,900000,650000,2575000,2000000,766666.6666666666,766666.6666666666,1400000,NA,24.5,24.8,25.875,28,28.666666666666668,30.5,27,27,24.666666666666668,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,2022,1150000,2135714.285714286,1167500,968750,600000,1737500,1137500,583333.3333333334,300000,1000000,NA,25.5,24.714285714285715,27.5,27.875,26.666666666666668,32.5,27,27.333333333333332,20,25.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,2023,1500000,1662500,2700000,821875,1200000,1315000,920000,966666.6666666666,1500000,816666.6666666666,NA,25,25.875,26.5,27.625,25.5,28.2,27,25.666666666666668,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,2024,600000,1766666.6666666667,3066666.6666666665,650000,660000,1210000,950000,683333.3333333334,766666.6666666666,641666.6666666666,NA,31,25.333333333333332,25.5,28.5,26,27.8,27.4,25.666666666666668,21,27.166666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,2025,800000,1900000,1914285.7142857143,650000,970000,1080000,650000,660000,1110000,512500,NA,29.5,26.333333333333332,26.285714285714285,27.125,22.8,26.6,26,27.6,21.8,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iceland,2018,11875000,657142.8571428572,1865000,2583333.3333333335,887500,758333.3333333334,1950000,450000,10000000,350000,2500000,28.666666666666668,28,28.1,27.666666666666668,32,27.666666666666668,21.75,23.666666666666668,28,34,22,475000,28,NA,NA,NA,NA,NA,NA
Iceland,2019,5837500,689285.7142857143,1231818.1818181819,1267857.142857143,637500,370833.3333333333,3512500,300000,8000000,225000,2000000,27.5,27.857142857142858,28.545454545454547,28,28.75,28.666666666666668,21,24.5,29,29.5,23,350000,32,NA,NA,NA,NA,NA,NA
Iceland,2020,13000000,862500,1315000,500000,645000,570000,2066666.6666666667,200000,3000000,500000,4000000,31,26.8,29.4,28.666666666666668,26.2,27.2,22.666666666666668,27,30,29.5,24,NA,NA,NA,NA,NA,NA,NA,NA
Iceland,2021,NA,802500,1047916.6666666666,616666.6666666666,983333.3333333334,541666.6666666666,3500000,425000,6500000,366666.6666666667,2000000,NA,24.2,27.416666666666668,27,27.333333333333332,25.166666666666668,21.5,24.5,30,26.666666666666668,23,75000,19,NA,NA,NA,NA,NA,NA
Iceland,2022,2150000,802083.3333333334,825000,425000,305000,521875,4000000,268750,600000,716666.6666666666,4500000,20.333333333333332,25.833333333333332,27.09090909090909,26.142857142857142,25.2,25.25,24,23.75,26.333333333333332,24,26,675000,25,225000,23,NA,NA,NA,NA
Iceland,2023,3441666.6666666665,1227777.7777777778,956250,1650000,590000,1020000,1500000,683333.3333333334,1100000,1550000,30000000,23.833333333333332,26.77777777777778,28.875,24.833333333333332,27,25.4,27,28.333333333333332,28.5,25,27,1500000,22,NA,NA,NA,NA,NA,NA
Iceland,2024,4658333.333333333,2608333.3333333335,725000,4575000,440000,1312500,1183333.3333333333,708333.3333333334,858333.3333333334,1750000,18000000,24.666666666666668,25.666666666666668,28.333333333333332,22.75,25.6,23.25,26.666666666666668,27.333333333333332,28,26,28,1200000,23,800000,25,NA,NA,NA,NA
Iceland,2025,5500000,2083333.3333333333,1010000,5750000,568750,1087500,1500000,1500000,1150000,1500000,28000000,22.333333333333332,25,30.6,21,25.75,24.25,26,24,29,24,27,1500000,23,800000,24,NA,NA,NA,NA
Mexico,2018,4600000,7500000,2970000,6466666.666666667,2700000,1837500,15000000,1550000,4671428.571428572,2933333.3333333335,3750000,24.333333333333332,25.25,27.8,27,25.571428571428573,29.5,22,21,24.142857142857142,24.833333333333332,28,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,2019,3485714.285714286,6080000,3277777.777777778,11540000,3637500,1628571.4285714286,15200000,3075000,7500000,2514285.714285714,NA,26,28.6,24.666666666666668,25.2,24.875,28.285714285714285,23,22.5,23,24.714285714285715,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,2020,5600000,8075000,4883333.333333333,10620000,4166666.6666666665,2150000,22000000,3750000,11425000,3333333.3333333335,NA,23.5,26.5,24.666666666666668,24.2,23.833333333333332,33,23,23,22,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,2021,5375000,4750000,2838461.5384615385,10416666.666666666,4114285.714285714,1850000,11750000,2500000,8008333.333333333,3042857.1428571427,NA,22.5,26,24.076923076923077,26,23.571428571428573,30,24.5,23.5,22.166666666666668,23.142857142857142,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,2022,6000000,4166666.6666666665,2966666.6666666665,6750000,8400000,2057142.857142857,11950000,2950000,8300000,4400000,NA,25.5,27,26.444444444444443,26.5,24,30.428571428571427,22,24.5,23.8,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,2023,5500000,4137500,3207692.3076923075,4600000,8750000,2300000,10800000,3116666.6666666665,2808333.3333333335,4080000,NA,22.5,25.625,24.153846153846153,25.571428571428573,25.625,29.8,25.5,23.333333333333332,23.666666666666668,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,2024,3500000,3788888.888888889,3747500,8215000,8275000,1864285.7142857143,6760000,3160000,4000000,3916666.6666666665,NA,23.333333333333332,24.11111111111111,22.8,26.2,24,26.857142857142858,23.8,24.4,25.25,23.5,NA,150000,19,NA,NA,NA,NA,NA,NA
Mexico,2025,3166666.6666666665,5500000,5437500,10041666.666666666,10750000,3620000,6175000,2900000,5250000,4900000,NA,20.666666666666668,24,24.875,27.166666666666668,26,28.8,25.75,25,25,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
