country,year,central_midfield_market_value,centre-back_market_value,centre-forward_market_value,defensive_midfield_market_value,goalkeeper_market_value,left_midfield_market_value,left_winger_market_value,midfielder_market_value,right-back_market_value,central_midfield_age,centre-back_age,centre-forward_age,defensive_midfield_age,goalkeeper_age,left_midfield_age,left_winger_age,midfielder_age,right-back_age,right_winger_market_value,right_winger_age,attacking_midfield_market_value,left-back_market_value,striker_market_value,attacking_midfield_age,left-back_age,striker_age,right_midfield_market_value,right_midfield_age,second_striker_market_value,second_striker_age,defender_market_value,defender_age
Kuwait,2018,162500,150000,125000,725000,100000,100000,100000,25000,100000,27.5,30.5,31,29.5,31,31,27,24,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,2019,162500,187500,125000,587500,100000,100000,100000,NA,100000,28.5,32,32,30.5,32,32,28,NA,32,100000,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kuwait,2021,287500,275000,241666.66666666666,254166.66666666666,175000,NA,366666.6666666667,25000,168750,26.5,25.428571428571427,27.5,26.166666666666668,27.6,NA,26,27,26.25,243750,23.75,87500,208333.33333333334,100000,22.5,23.333333333333332,33,NA,NA,NA,NA,NA,NA
Kuwait,2022,375000,345000,230000,250000,287500,NA,308333.3333333333,NA,300000,31.5,27.2,27.4,28.5,26.5,NA,28,NA,26,250000,26,NA,183333.33333333334,NA,NA,24.333333333333332,NA,NA,NA,NA,NA,NA,NA
Kuwait,2023,283333.3333333333,293750,183333.33333333334,300000,268750,NA,300000,NA,200000,28.666666666666668,27,23,29.5,25.5,NA,27,NA,26,287500,26.25,NA,216666.66666666666,NA,NA,24.666666666666668,NA,NA,NA,NA,NA,NA,NA
Kuwait,2024,237500,235000,187500,291666.6666666667,162500,NA,283333.3333333333,200000,237500,30.5,28.8,29,28,30.166666666666668,NA,27.666666666666668,27,28,270833.3333333333,25,NA,208333.33333333334,NA,NA,27.333333333333332,NA,NA,NA,NA,NA,NA,NA
Kuwait,2025,258333.33333333334,255000,225000,300000,187500,NA,283333.3333333333,NA,216666.66666666666,28.666666666666668,28.6,28.5,27.333333333333332,28.75,NA,25.666666666666668,NA,27.666666666666668,225000,25,NA,212500,NA,NA,27,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,2018,12708333.333333334,4031250,2755000,3383333.3333333335,2350000,1000000,583333.3333333334,NA,1000000,27,27.375,26.8,25.666666666666668,27.5,24,25.666666666666668,NA,22,6625000,27.5,3250000,550000,NA,23,26.5,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,2019,18250000,3507142.8571428573,2535714.285714286,3080000,630000,800000,800000,NA,600000,30,28.142857142857142,26.714285714285715,27,27.2,25,26,NA,27,3287500,27.25,3233333.3333333335,800000,NA,24.666666666666668,24,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,2020,20000000,2564285.714285714,3321428.5714285714,2300000,504166.6666666667,1500000,766666.6666666666,NA,625000,31,26.857142857142858,27.714285714285715,24.857142857142858,27.333333333333332,26,26.333333333333332,NA,26.25,4750000,28,2525000,1500000,NA,26,25,NA,400000,26,NA,NA,NA,NA
Bosnia and Herzegovina,2021,7771428.571428572,1702083.3333333333,2625000,2353571.4285714286,395000,NA,762500,NA,450000,25.714285714285715,24.583333333333332,26.5,23.142857142857142,24,NA,24,NA,24,300000,26,2200000,950000,NA,24.5,23,NA,850000,27.5,NA,NA,NA,NA
