country,year,central_midfield_market_value,centre-back_market_value,centre-forward_market_value,defensive_midfield_market_value,goalkeeper_market_value,left_winger_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,second_striker_market_value,central_midfield_age,centre-back_age,centre-forward_age,defensive_midfield_age,goalkeeper_age,left_winger_age,left-back_age,right_winger_age,right-back_age,second_striker_age,attacking_midfield_market_value,attacking_midfield_age,right_midfield_market_value,right_midfield_age,defender_market_value,defender_age,left_midfield_market_value,left_midfield_age,striker_market_value,striker_age,midfielder_market_value,midfielder_age
Malaysia,2018,225000,80000,116666.66666666667,62500,83333.33333333333,58333.333333333336,100000,95000,66666.66666666667,50000,25.714285714285715,25,26,22,25,24,24,22.4,22.833333333333332,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,2019,210714.2857142857,150000,150000,100000,164285.7142857143,153571.42857142858,200000,216666.66666666666,250000,NA,27,26.833333333333332,29,24.5,27.428571428571427,25,26.333333333333332,23.666666666666668,24.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,2021,191666.66666666666,170000,185000,100000,168750,83333.33333333333,212500,175000,340000,NA,26.833333333333332,26.4,27.4,25,30.25,21.666666666666668,26.5,23.666666666666668,24.6,NA,350000,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,2022,187500,107142.85714285714,130000,150000,104166.66666666667,125000,130000,165000,345000,100000,26.875,27,29.2,24,26.666666666666668,24,26.6,23.8,23.2,31,241666.66666666666,29.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,2023,193750,200000,150000,125000,132142.85714285713,175000,206250,231250,335000,100000,24.625,26.5,27.8,25,24.285714285714285,25.5,27.75,25,24.2,32,200000,29.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,2024,203125,187500,171428.57142857142,125000,221428.57142857142,187500,206250,256250,405000,NA,29.5,26,27.571428571428573,23.5,26.857142857142858,24.5,29.5,25.75,27.8,NA,183333.33333333334,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malaysia,2025,290000,403571.4285714286,912500,187500,212500,241666.66666666666,175000,1283333.3333333333,450000,NA,27.2,26.714285714285715,29.75,25.5,26.666666666666668,25,28.25,24.333333333333332,26.25,NA,225000,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Africa Republic,2018,1000000,725000,433333.3333333333,6208333.333333333,300000,100000,NA,NA,NA,NA,25,28,28.666666666666668,29,29,28,NA,NA,NA,NA,375000,29,150000,28,NA,NA,NA,NA,NA,NA,NA,NA
Central Africa Republic,2019,500000,900000,200000,11450000,300000,NA,NA,NA,NA,NA,26.5,27.5,31,29,31,NA,NA,NA,NA,NA,200000,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Africa Republic,2020,725000,1375000,NA,14250000,300000,NA,NA,NA,NA,NA,26.5,29,NA,28.5,31,NA,NA,NA,NA,NA,250000,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Africa Republic,2021,175000,206250,575000,20000000,NA,200000,NA,NA,NA,NA,28,27.5,24.5,29,NA,23,NA,NA,NA,NA,25000,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Africa Republic,2022,NA,150000,75000,NA,NA,NA,NA,NA,NA,NA,NA,26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Africa Republic,2023,300000,100000,737500,12000000,150000,225000,NA,350000,NA,NA,27,28.5,26.25,31,29.5,25,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Africa Republic,2024,375000,225000,583333.3333333334,15000000,200000,250000,NA,200000,NA,NA,26.5,25.75,25.666666666666668,30,29,24.5,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central Africa Republic,2025,400000,700000,718750,4025000,150000,200000,NA,100000,NA,NA,32,26.666666666666668,25.75,25.5,30,25.5,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanzania,2018,NA,150000,1075000,NA,NA,NA,NA,NA,NA,NA,NA,22,24.333333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanzania,2019,100000,83333.33333333333,1514285.7142857143,100000,83333.33333333333,62500,75000,NA,75000,NA,23,32.666666666666664,26.428571428571427,23,23.333333333333332,23.5,24.333333333333332,NA,25,NA,50000,24.5,NA,NA,50000,24,NA,NA,NA,NA,NA,NA
Tanzania,2020,75000,125000,3243750,200000,100000,75000,75000,NA,NA,NA,21,31,27.25,27,22.5,23,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanzania,2021,100000,100000,628571.4285714285,175000,100000,75000,62500,NA,NA,NA,25,35.5,26,24,24.5,26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanzania,2022,75000,NA,1055000,175000,100000,75000,62500,NA,NA,NA,23,NA,25,24,24.5,25,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanzania,2023,166666.66666666666,NA,695000,341666.6666666667,100000,NA,62500,NA,NA,NA,24.666666666666668,NA,26.4,23.666666666666668,25.5,NA,24,NA,NA,NA,75000,20,100000,20,NA,NA,NA,NA,NA,NA,NA,NA
Tanzania,2024,166666.66666666666,175000,1133333.3333333333,408333.3333333333,100000,NA,62500,NA,NA,NA,25.666666666666668,28,27,25.333333333333332,26.5,NA,25,NA,NA,NA,100000,20,100000,21,NA,NA,NA,NA,NA,NA,NA,NA
Tanzania,2025,141666.66666666666,120833.33333333333,550000,450000,150000,108333.33333333333,62500,NA,NA,NA,26.666666666666668,24.333333333333332,28,21.5,29,24.666666666666668,26,NA,NA,NA,50000,21,125000,22,NA,NA,NA,NA,NA,NA,NA,NA
