country,year,attacking_midfield_market_value,central_midfield_market_value,centre-back_market_value,centre-forward_market_value,goalkeeper_market_value,left_winger_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,attacking_midfield_age,central_midfield_age,centre-back_age,centre-forward_age,goalkeeper_age,left_winger_age,left-back_age,right_winger_age,right-back_age,defensive_midfield_market_value,defensive_midfield_age,right_midfield_market_value,right_midfield_age,second_striker_market_value,second_striker_age,left_midfield_market_value,left_midfield_age,striker_market_value,striker_age,defender_market_value,midfielder_market_value,defender_age,midfielder_age
Haiti,2018,1000000,375000,325000,166666.66666666666,500000,450000,475000,100000,150000,25,24,25.666666666666668,20.666666666666668,29,21,26,20,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,2019,NA,287500,268750,437500,400000,437500,387500,187500,437500,NA,27,28.75,23.5,32,26.5,28.5,22.5,24,143750,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,2021,100000,168750,204166.66666666666,550000,108333.33333333333,383333.3333333333,200000,237500,675000,22,26.5,29.333333333333332,25.285714285714285,26.666666666666668,27.333333333333332,27,24.5,24.5,240000,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,2022,NA,300000,195833.33333333334,212500,133333.33333333334,800000,237500,300000,466666.6666666667,NA,24,27.333333333333332,25,24.666666666666668,25,29,28,23.333333333333332,366666.6666666667,25.333333333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,2023,NA,NA,240000,908333.3333333334,112500,640000,216666.66666666666,1200000,366666.6666666667,NA,NA,29.8,27.333333333333332,26.75,26.8,28.333333333333332,23,28,495833.3333333333,26,50000,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,2024,NA,125000,935000,1275000,150000,712500,275000,700000,525000,NA,22,27.6,26.25,26.666666666666668,26.75,27,22,27.5,700000,24.25,NA,NA,100000,26,NA,NA,NA,NA,NA,NA,NA,NA
Haiti,2025,NA,9037500,1295833.3333333333,1160000,100000,560000,250000,1766666.6666666667,666666.6666666666,NA,24.5,25.666666666666668,26.4,27.666666666666668,26.8,28,22,26.666666666666668,412500,22.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DR Congo,2018,2000000,962500,5166666.666666667,6795000,233333.33333333334,4000000,7000000,500000,825000,25.5,23,23.333333333333332,24.7,25.333333333333332,25,24,24,25.5,1000000,29.5,NA,NA,800000,32,500000,30,NA,NA,NA,NA,NA,NA
DR Congo,2019,2116666.6666666665,1412500,2360714.285714286,4175000,225000,1200000,2700000,1633333.3333333333,725000,26.333333333333332,24,26.285714285714285,26.333333333333332,26.333333333333332,28,26.666666666666668,27.666666666666668,28.5,1100000,28.666666666666668,NA,NA,400000,34,475000,32,NA,NA,NA,NA,NA,NA
DR Congo,2020,3500000,1983333.3333333333,3458333.3333333335,4725000,250000,1075000,1000000,1725000,250000,28,23,25.666666666666668,26.6,23.5,22.333333333333332,27,27.25,26,400000,25,NA,NA,450000,27,NA,NA,NA,NA,NA,NA,NA,NA
