country,year,attacking_midfield_market_value,central_midfield_market_value,centre-forward_market_value,defensive_midfield_market_value,left_winger_market_value,left-back_market_value,attacking_midfield_age,central_midfield_age,centre-forward_age,defensive_midfield_age,left_winger_age,left-back_age,centre-back_market_value,right_winger_market_value,right-back_market_value,centre-back_age,right_winger_age,right-back_age,goalkeeper_market_value,goalkeeper_age,right_midfield_market_value,right_midfield_age,left_midfield_market_value,left_midfield_age,second_striker_market_value,second_striker_age,defender_market_value,midfielder_market_value,defender_age,midfielder_age,striker_market_value,striker_age
El Salvador,2018,187500,175000,137500,750000,341666.6666666667,187500,28,28,26,28,26.333333333333332,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Salvador,2019,325000,200000,316666.6666666667,266666.6666666667,233333.33333333334,150000,29.5,30,28.333333333333332,27.333333333333332,26.666666666666668,27,287500,275000,250000,27,28,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Salvador,2020,283333.3333333333,NA,100000,325000,250000,275000,29.666666666666668,NA,23,28,25.5,27,125000,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Salvador,2021,243750,170000,300000,265000,162500,131250,25.25,24.8,29,27,24.833333333333332,26,281250,NA,287500,26.5,NA,22,100000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Salvador,2022,187500,179166.66666666666,291666.6666666667,235000,193750,132500,23.25,22.833333333333332,25,28,26.25,24.5,205000,NA,631250,24.7,NA,24.75,181250,24.75,225000,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Salvador,2023,165000,180000,247222.22222222222,216666.66666666666,275000,145833.33333333334,25.2,26,24,29.333333333333332,26.5,24,155000,NA,1025000,26.7,NA,26.75,181250,25,158333.33333333334,25,100000,25,NA,NA,NA,NA,NA,NA,NA,NA
El Salvador,2024,250000,178125,261111.11111111112,225000,230000,137500,29,24.125,22.333333333333332,30,26,26,153125,125000,200000,26,30,26.5,146875,27.375,200000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Salvador,2025,162500,181250,318750,165000,100000,166666.66666666666,24.5,24.75,23.125,29.4,19.5,25.333333333333332,196875,175000,225000,26.625,31,29,156250,29,125000,26.5,125000,26,NA,NA,NA,NA,NA,NA,NA,NA
Iraq,2018,333333.3333333333,350000,312500,1166666.6666666667,683333.3333333334,400000,25.666666666666668,28,24,28.666666666666668,25.666666666666668,23,439285.71428571426,700000,100000,25.714285714285715,28,27,162500,31.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iraq,2019,400000,NA,450000,750000,683333.3333333334,262500,27.25,NA,23.333333333333332,24.5,26.666666666666668,25,414285.71428571426,550000,100000,25.857142857142858,29,28,100000,29.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iraq,2020,900000,NA,225000,NA,NA,400000,23,NA,23,NA,NA,23,766666.6666666666,NA,NA,25.333333333333332,NA,NA,100000,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
