country,year,central_midfield_market_value,centre-forward_market_value,left_winger_market_value,central_midfield_age,centre-forward_age,left_winger_age,attacking_midfield_market_value,centre-back_market_value,goalkeeper_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,attacking_midfield_age,centre-back_age,goalkeeper_age,left-back_age,right_winger_age,right-back_age,left_midfield_market_value,second_striker_market_value,left_midfield_age,second_striker_age,right_midfield_market_value,right_midfield_age,defensive_midfield_market_value,defensive_midfield_age,striker_market_value,striker_age,defender_market_value,midfielder_market_value,defender_age,midfielder_age
Suriname,2019,50000,425000,150000,20,24.5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suriname,2021,400000,483333.3333333333,900000,29,26.666666666666668,24,1033333.3333333334,780000,1000000,5000000,1000000,1916666.6666666667,31.333333333333332,29.2,28,27,29,26.666666666666668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suriname,2022,NA,433333.3333333333,200000,NA,26.333333333333332,31,350000,460000,283333.3333333333,1900000,350000,325000,35,31.4,26.333333333333332,28,32.5,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suriname,2023,212500,350000,5062500,24,28,30.5,350000,1065000,175000,1262500,225000,556250,36,31,27.333333333333332,27.5,33.5,28.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suriname,2024,375000,700000,4191666.6666666665,23,24.75,27,2800000,1007142.8571428572,583333.3333333334,1666666.6666666667,1625000,925000,22,26.571428571428573,27.333333333333332,26,29,27,1475000,500000,25.5,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Suriname,2025,383333.3333333333,625000,850000,25.666666666666668,25.75,26.666666666666668,766666.6666666666,682142.8571428572,1000000,1162500,4000000,687500,31.666666666666668,29.142857142857142,28.333333333333332,27.75,26.5,28,425000,600000,27.5,27,125000,31,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,2018,200000,100000,150000,23,21,19,87500,112500,NA,150000,37500,25000,25,24.5,NA,26,23,29,NA,NA,NA,NA,NA,NA,150000,23.5,NA,NA,NA,NA,NA,NA
Afghanistan,2019,325000,200000,150000,25,26,22,141666.66666666666,175000,25000,225000,50000,125000,27.666666666666668,31.5,23,28,22,28,NA,NA,NA,NA,NA,NA,100000,26,NA,NA,NA,NA,NA,NA
Afghanistan,2021,107000,133333.33333333334,100000,25,27,21.5,100000,133333.33333333334,66666.66666666667,25000,37500,100000,27.5,29.666666666666668,27.666666666666668,22,27,30,NA,NA,NA,NA,NA,NA,100000,28,NA,NA,NA,NA,NA,NA
Afghanistan,2022,153333.33333333334,50000,250000,23.333333333333332,23,23,166666.66666666666,125000,87500,NA,25000,100000,27.333333333333332,30.5,26.5,NA,24,29,NA,NA,NA,NA,NA,NA,62500,27.5,NA,NA,NA,NA,NA,NA
Afghanistan,2023,287500,100000,93750,26.5,28.333333333333332,23.75,100000,150000,50000,NA,50000,NA,28,37,32,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,2024,250000,125000,41666.666666666664,23,25,22.333333333333332,75000,125000,50000,NA,50000,NA,24.5,29,31,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,2025,125000,150000,50000,24,26,24,225000,100000,50000,25000,100000,NA,28,34,32,25,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congo,2018,425000,558333.3333333334,866666.6666666666,24,21,23.666666666666668,250000,230000,NA,250000,1000000,NA,23.5,23.8,NA,26,27,NA,NA,NA,NA,NA,NA,NA,975000,28,NA,NA,NA,NA,NA,NA
Congo,2019,412500,765000,NA,22.5,24.4,NA,437500,425000,100000,250000,NA,325000,23,26.25,26,29,NA,23,NA,NA,NA,NA,NA,NA,550000,27.25,NA,NA,NA,NA,NA,NA
Congo,2020,325000,1116666.6666666667,825000,23,21.666666666666668,24.5,650000,500000,100000,275000,NA,400000,21,23.5,25,25.5,NA,23,NA,NA,NA,NA,NA,NA,500000,22,NA,NA,NA,NA,NA,NA
Congo,2021,175000,400000,920000,24.5,25.77777777777778,24.6,225000,356250,200000,587500,NA,400000,27.666666666666668,26,28,25.75,NA,26,NA,NA,NA,NA,NA,NA,537500,25.125,NA,NA,NA,NA,NA,NA
