country,year,attacking_midfield_market_value,central_midfield_market_value,centre-back_market_value,centre-forward_market_value,defensive_midfield_market_value,goalkeeper_market_value,left_winger_market_value,left-back_market_value,right_winger_market_value,right-back_market_value,attacking_midfield_age,central_midfield_age,centre-back_age,centre-forward_age,defensive_midfield_age,goalkeeper_age,left_winger_age,left-back_age,right_winger_age,right-back_age,second_striker_market_value,second_striker_age,left_midfield_market_value,right_midfield_market_value,left_midfield_age,right_midfield_age,striker_market_value,striker_age,midfielder_market_value,midfielder_age,defender_market_value,defender_age
South Korea,2018,1662500,1435000,765625,1616666.6666666667,1810000,775000,5516666.666666667,850000,1375000,500000,25.333333333333332,27.2,26,25.333333333333332,25.2,26.5,26,27.25,26,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Korea,2019,3142857.1428571427,883333.3333333334,766666.6666666666,2890000,1412500,1050000,11412500,633333.3333333334,1975000,662500,25,25.166666666666668,25.666666666666668,28.6,28,28.75,26.333333333333332,30,28.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Korea,2020,7125000,850000,850000,12500000,1166666.6666666667,962500,80000000,400000,150000,650000,25,29,24.666666666666668,23,26.333333333333332,25.5,27,27,20,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Korea,2021,4339285.714285715,637500,1008333.3333333334,2625000,1525000,950000,18670000,550000,1316666.6666666667,637500,24.428571428571427,26.5,27.166666666666668,24.428571428571427,26.5,28.2,25.8,29.4,23.333333333333332,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Korea,2022,3950000,775000,1180000,3005000,1887500,935000,16740000,610000,785000,762500,24.857142857142858,25.5,25.1,23.2,27.5,27.8,23.8,27.4,22,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Korea,2023,7133333.333333333,800000,6425000,10433333.333333334,2191666.6666666665,762500,11950000,550000,1275000,887500,26.666666666666668,28.5,27.75,25.666666666666668,29.5,28,28.5,29.25,26,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Korea,2024,5714285.714285715,625000,6625000,5740000,1825000,671428.5714285715,10630000,575000,1550000,810000,23.857142857142858,25.8,26.7,26.2,29.75,28.857142857142858,26.4,28.5,22.5,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Korea,2025,7080000,1240000,5222500,4935714.285714285,2700000,700000,10162500,550000,1395000,1050000,24.8,24,25,26,27.333333333333332,30.4,28.5,26,24,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,2018,NA,100000,NA,125000,NA,250000,NA,NA,100000,NA,NA,21,NA,32,NA,27,NA,NA,23,NA,400000,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,2019,NA,100000,200000,250000,NA,250000,100000,250000,250000,NA,NA,24,24.5,24,NA,30,27,26,26,NA,150000,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,2020,150000,NA,250000,NA,NA,250000,100000,NA,NA,NA,23,NA,28,NA,NA,29,26,NA,NA,NA,150000,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,2021,150000,75000,337500,250000,NA,250000,NA,NA,NA,NA,26,24,26.5,26,NA,32,NA,NA,NA,NA,150000,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,2022,150000,100000,350000,175000,NA,NA,250000,175000,162500,NA,25,25,23,25,NA,NA,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,2023,NA,NA,850000,550000,300000,NA,300000,NA,NA,NA,NA,NA,25,28,27,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,2024,150000,100000,600000,450000,225000,NA,325000,NA,75000,NA,27,27,25,27,26,NA,30,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,2025,NA,NA,850000,550000,300000,NA,300000,NA,NA,NA,NA,NA,26,28,27,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portugal,2018,20500000,14491666.666666666,5162500,43000000,17500000,8000000,14750000,9666666.666666666,10250000,14666666.666666666,25.8,24.333333333333332,29.75,28,22.5,29.25,22,24.333333333333332,25.25,24.333333333333332,10000000,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
