country,year,attacker_market_value,defender_market_value,midfielder_market_value,goalkeeper_market_value,attacker_age,defender_age,midfielder_age,goalkeeper_age
Afghanistan,2018,95833.33333333333,95833.33333333333,145833.33333333334,NA,21,26.5,23.833333333333332,NA
Afghanistan,2019,133333.33333333334,175000,188888.88888888888,25000,23.333333333333332,29.166666666666668,26.22222222222222,23
Afghanistan,2021,90277.77777777778,86111.11111111111,102333.33333333333,66666.66666666667,25.166666666666668,27.22222222222222,26.833333333333332,27.666666666666668
Afghanistan,2022,108333.33333333334,112500,127500,87500,23.333333333333332,29.75,26.055555555555554,26.5
Afghanistan,2023,81250,150000,193750,50000,25.36111111111111,37,27.25,32
Afghanistan,2024,72222.22222222222,125000,162500,50000,23.444444444444443,29,23.75,31
Afghanistan,2025,100000,62500,175000,50000,24.666666666666668,29.5,26,32
Albania,2018,672916.6666666666,8207500,976190.4761904762,5906250,24.055555555555557,26.3,27.86904761904762,26.75
Albania,2019,769444.4444444445,3736388.888888889,923412.6984126985,5800000,25.755555555555556,26.744444444444444,26.19047619047619,27.5
Albania,2020,1480952.380952381,4882936.507936508,777083.3333333334,3435000,27.19047619047619,26.515873015873016,25.15,26.6
Albania,2021,1138888.888888889,3961805.5555555555,1055555.5555555555,4705000,26.333333333333332,25.47222222222222,25,24.6
Albania,2022,2448611.111111111,1397777.7777777778,1553958.3333333335,809375,26.51851851851852,26.577777777777776,25.508333333333333,25.25
Albania,2023,1393333.3333333333,2476388.888888889,2997777.777777778,1800000,26.377777777777776,26.5,24.655555555555555,27.5
Albania,2024,3366666.6666666665,3185185.185185185,3236111.111111111,960000,27.444444444444443,26.40740740740741,26,28.2
Albania,2025,3610000,3140740.7407407407,4513333.333333333,1140000,28.6,27.59259259259259,26.288888888888888,27.2
Algeria,2018,5093363.095238095,925198.4126984127,2758472.222222222,450000,25.45,24.46825396825397,24.36111111111111,28.666666666666668
Algeria,2019,7025396.825396826,3207777.777777778,2951666.6666666665,712500,26.96825396825397,26.177777777777777,27.455555555555556,30.75
Algeria,2020,18888888.888888888,3940476.1904761908,5133333.333333333,1066666.6666666667,26.333333333333332,24.761904761904763,27.333333333333332,32.333333333333336
Algeria,2022,8783703.703703703,3401190.476190476,4252777.777777778,540000,27.533333333333335,26.003968253968253,25.983333333333334,30.2
Algeria,2023,6913174.603174604,3990370.3703703703,5196875,542857.1428571428,26.06825396825397,25.22962962962963,25.008333333333333,29.428571428571427
Algeria,2024,8146388.888888889,4706746.031746032,7289880.952380953,750000,27.47222222222222,25.706349206349206,25.154761904761905,29.5
Algeria,2025,4326666.666666667,3295833.3333333335,4379166.666666667,622500,26.7,26.27777777777778,26.160714285714285,27.6
Andorra,2018,93750,101250,112500,75000,34.25,28.25,27.5,34.5
Andorra,2019,NA,108333.33333333331,NA,NA,NA,29.333333333333332,NA,NA
