date,home_team,away_team,home_team_last_5_games,away_team_last_5_games,home_elo_rating,away_elo_rating,home_attacker_market_value,home_defender_market_value,home_goalkeeper_market_value,home_midfielder_market_value,home_attacker_age,home_defender_age,home_goalkeeper_age,home_midfielder_age,away_attacker_market_value,away_defender_market_value,away_goalkeeper_market_value,away_midfielder_market_value,away_attacker_age,away_defender_age,away_goalkeeper_age,away_midfielder_age,result
2018-06-01,South Korea,Bosnia and Herzegovina,6,8,1760,1723,2643333.3333333335,1040909.0909090908,567857.1428571428,1870238.0952380951,26.51111111111111,27.28787878787879,26.714285714285715,26.126190476190477,3341666.6666666665,1680555.5555555555,3833333.333333333,4415166.666666667,24.77777777777778,27.11111111111111,26.333333333333332,26.256666666666668,lose
2018-06-01,Botswana,Mauritius,13,9,1253,1067,183333.33333333337,100000,250000,100000,28,25,28,22,112500,100000,100000,500000,27.5,25,25,29,win
2018-06-07,Portugal,Algeria,8,3,1993,1535,14700000,7090476.19047619,5791666.666666666,20444444.444444444,24.866666666666667,26.607142857142858,27,23.583333333333332,10450000,2648333.3333333335,414285.71428571426,5522222.222222222,26.555555555555557,26.64444444444445,28.857142857142858,25.555555555555557,win
2018-06-08,Lithuania,Iran,4,9,1406,1800,404166.6666666667,224603.1746031746,300000,240555.55555555556,26.166666666666668,27.5515873015873,25.4,24.966666666666665,1951111.111111111,681944.4444444445,508333.3333333333,670833.3333333334,25.044444444444444,26.827777777777776,25.166666666666668,24.27777777777778,lose
2018-06-08,South Africa,Botswana,11,8,1541,1253,1015238.0952380951,585185.1851851852,650000,1280555.5555555555,25.11428571428571,28.90740740740741,31,27.194444444444443,183333.33333333337,100000,250000,100000,28,25,28,22,win
2018-06-08,Madagascar,Lesotho,5,7,1365,1266,345833.3333333333,450000,50000,669444.4444444444,28.5,28.5,24,25.666666666666668,50000,100000,100000,50000,30,25,25,24,lose
2018-06-09,Zambia,Zimbabwe,5,6,1498,1461,708333.3333333334,616666.6666666666,450000,162500,28,24.333333333333332,32,27.75,834821.4285714285,691666.6666666666,312500,2368750,26.92857142857143,28.444444444444443,24.5,28.375,lose
2018-06-09,Denmark,Mexico,8,7,1840,1847,4284375,2870238.095238095,2600000,12213888.888888888,22.6875,24.547619047619047,27.2,25.75,6190625,2763888.888888889,1528571.4285714286,4706349.206349206,24.85625,25.666666666666668,31.428571428571427,24.95634920634921,win
2018-06-09,Sweden,Peru,5,13,1823,1881,1833333.3333333333,2068333.3333333333,1260000,2477777.777777778,23.71212121212121,24.3,26,24.666666666666668,1741666.6666666667,562500,355000,1936111.1111111112,24.5,24.75,30.4,23.77777777777778,tie
2018-06-09,Estonia,Morocco,4,13,1506,1688,345833.3333333333,422777.77777777775,210000,264583.3333333333,24.916666666666668,24.577777777777776,24.2,25.444444444444443,2729761.904761905,1473958.3333333333,700000,3075000,24.49206349206349,24.65277777777778,26,25.583333333333332,lose
2018-06-09,Latvia,Azerbaijan,5,7,1362,1400,303333.3333333333,246825.39682539683,308333.3333333333,232083.33333333337,26.366666666666667,26.428571428571427,31.666666666666668,26.366666666666667,506666.6666666667,336666.6666666667,280000,427083.3333333333,25.266666666666666,25.4,27,24.958333333333332,lose
2018-06-09,France,United States,10,8,1988,1751,33750000,12930555.555555556,12875000,22933333.333333332,22.916666666666668,24.84722222222222,28.25,24.577777777777776,2042187.5,1479166.6666666667,1038888.8888888888,2335069.4444444445,26.90625,26.88888888888889,28.88888888888889,27.166666666666668,tie
2018-06-10,India,Kenya,9,9,1163,1394,125000,89444.44444444444,87500,85937.5,23.166666666666668,23.08888888888889,23.666666666666668,24.895833333333332,291666.6666666667,137500,100000,2650000,23.833333333333332,23.625,25,24.666666666666664,win
